Time &Domain0 &Domain1 &Domain2 &Domain3
94.025144 0.6494839375 0.2528076402 0 0.0977084223
95.1589056084 0.6414637461 0.26203439 0 0.096501864
96.239491705 0.6414637461 0.26203439 0 0.096501864
97.0893168671 0.6414637461 0.26203439 0 0.096501864
98.1362682577 0.6414637461 0.26203439 0 0.096501864
99.0593743514 0.6150882434 0.2923778256 0 0.092533931
100.5608719038 0.6087252178 0.2996981054 0 0.0915766768
101.0536207087 0.6087252178 0.2996981054 0 0.0915766768
102.0188438357 0.6087252178 0.2996981054 0 0.0915766768
103.205446243 0.6087252178 0.2996981054 0 0.0915766768
104.0095469966 0.6087252178 0.2996981054 0 0.0915766768
105.0274287844 0.6087252178 0.2996981054 0 0.0915766768
106.0257282447 0.6087252178 0.2996981054 0 0.0915766768
107.009351859 0.6087252178 0.2996981054 0 0.0915766768
108.2800414827 0.5625900623 0.2769840494 0.0757897885 0.0846360999
109.1358015086 0.5625900623 0.2769840494 0.0757897885 0.0846360999
110.1441045112 0.5625900623 0.2769840494 0.0757897885 0.0846360999
111.0206690173 0.5625900623 0.2769840494 0.0757897885 0.0846360999
112.1460355706 0.5625900623 0.2769840494 0.0757897885 0.0846360999
113.1056173085 0.5625900623 0.2769840494 0.0757897885 0.0846360999
114.1382877566 0.5625900623 0.2769840494 0.0757897885 0.0846360999
115.0838906788 0.5625900623 0.2769840494 0.0757897885 0.0846360999
116.031240551 0.5625900623 0.2769840494 0.0757897885 0.0846360999
117.1158823663 0.5942997411 0.2569043153 0.0702954692 0.0785004744
118.2443353347 0.5942997411 0.2569043153 0.0702954692 0.0785004744
119.0533333796 0.5826653778 0.271451596 0.0689193235 0.0769637027
120.0663545789 0.5826653778 0.271451596 0.0689193235 0.0769637027
121.1123710558 0.5826653778 0.271451596 0.0689193235 0.0769637027
122.1022559391 0.5826653778 0.271451596 0.0689193235 0.0769637027
123.0321127729 0.5826653778 0.271451596 0.0689193235 0.0769637027
124.2136906395 0.5826653778 0.271451596 0.0689193235 0.0769637027
125.0487792915 0.5549884893 0.2585575133 0.0656456222 0.1208083752
126.2637380307 0.5549884893 0.2585575133 0.0656456222 0.1208083752
127.5809479954 0.5549884893 0.2585575133 0.0656456222 0.1208083752
128.1369982136 0.5549884893 0.2585575133 0.0656456222 0.1208083752
129.0506101452 0.5549884893 0.2585575133 0.0656456222 0.1208083752
130.5093918245 0.5285540823 0.2462422767 0.1101494351 0.1150542059
131.4133168796 0.5285540823 0.2462422767 0.1101494351 0.1150542059
132.0683702068 0.5285540823 0.2462422767 0.1101494351 0.1150542059
133.1693978473 0.5285540823 0.2462422767 0.1101494351 0.1150542059
134.1786544335 0.5285540823 0.2462422767 0.1101494351 0.1150542059
135.0017623072 0.5285540823 0.2462422767 0.1101494351 0.1150542059
136.035570169 0.5285540823 0.2462422767 0.1101494351 0.1150542059
137.0269015614 0.5285540823 0.2462422767 0.1101494351 0.1150542059
138.218922346 0.5285540823 0.2462422767 0.1101494351 0.1150542059
139.2883390008 0.5285540823 0.2462422767 0.1101494351 0.1150542059
140.0851807175 0.5285540823 0.2462422767 0.1101494351 0.1150542059
141.2289883204 0.5285540823 0.2462422767 0.1101494351 0.1150542059
142.033926635 0.5285540823 0.2462422767 0.1101494351 0.1150542059
143.1006542353 0.5285540823 0.2462422767 0.1101494351 0.1150542059
144.0014105413 0.5285540823 0.2462422767 0.1101494351 0.1150542059
145.0000751995 0.4776683467 0.2225356783 0.1958184368 0.1039775382
146.2200440092 0.4776683467 0.2225356783 0.1958184368 0.1039775382
147.0016807084 0.4776683467 0.2225356783 0.1958184368 0.1039775382
148.0520846564 0.4687505833 0.2183810791 0.2108319937 0.1020363439
149.4049284967 0.4687505833 0.2183810791 0.2108319937 0.1020363439
150.1868332846 0.4600947187 0.214348493 0.2069388077 0.1186179805
151.0032231932 0.4600947187 0.214348493 0.2069388077 0.1186179805
152.0185841704 0.4600947187 0.214348493 0.2069388077 0.1186179805
153.1112897307 0.4600947187 0.214348493 0.2069388077 0.1186179805
154.059059814 0.4600947187 0.214348493 0.2069388077 0.1186179805
155.0242845768 0.4600947187 0.214348493 0.2069388077 0.1186179805
156.0419872174 0.4600947187 0.214348493 0.2069388077 0.1186179805
157.0144290585 0.4600947187 0.214348493 0.2069388077 0.1186179805
158.2039132607 0.4600947187 0.214348493 0.2069388077 0.1186179805
159.0732674508 0.4600947187 0.214348493 0.2069388077 0.1186179805
160.0647011339 0.4600947187 0.214348493 0.2069388077 0.1186179805
161.0810689301 0.4600947187 0.214348493 0.2069388077 0.1186179805
162.1126686063 0.4268140307 0.1988437176 0.1919700076 0.1823722441
163.0983001769 0.4268140307 0.1988437176 0.1919700076 0.1823722441
164.1119341078 0.4268140307 0.1988437176 0.1919700076 0.1823722441
165.231821308 0.4268140307 0.1988437176 0.1919700076 0.1823722441
166.0274507017 0.4268140307 0.1988437176 0.1919700076 0.1823722441
167.4882076642 0.4268140307 0.1988437176 0.1919700076 0.1823722441
168.0412615301 0.4268140307 0.1988437176 0.1919700076 0.1823722441
169.009531769 0.4098663255 0.2306556064 0.1843473644 0.1751307037
170.0189768171 0.4098663255 0.2306556064 0.1843473644 0.1751307037
171.2421410124 0.4041000483 0.2414792647 0.1817538407 0.1726668463
172.0472661247 0.4041000483 0.2414792647 0.1817538407 0.1726668463
173.1739253852 0.4041000483 0.2414792647 0.1817538407 0.1726668463
174.074085576 0.4041000483 0.2414792647 0.1817538407 0.1726668463
175.0075034393 0.4041000483 0.2414792647 0.1817538407 0.1726668463
176.0547606293 0.4041000483 0.2414792647 0.1817538407 0.1726668463
177.1209014486 0.4041000483 0.2414792647 0.1817538407 0.1726668463
178.3730944094 0.3863292306 0.2748361866 0.1737609825 0.1650736003
179.0003261563 0.3863292306 0.2748361866 0.1737609825 0.1650736003
180.0747954633 0.3863292306 0.2748361866 0.1737609825 0.1650736003
181.0372901413 0.3806324844 0.2855293309 0.1711987321 0.1626394526
182.1949018803 0.3806324844 0.2855293309 0.1711987321 0.1626394526
183.06273932 0.3806324844 0.2855293309 0.1711987321 0.1626394526
184.109887955 0.3806324844 0.2855293309 0.1711987321 0.1626394526
185.2479808048 0.372627155 0.2795241778 0.1675981403 0.1802505269
186.120870717 0.3710122342 0.2826466326 0.1668717903 0.179469343
187.1303165728 0.3710122342 0.2826466326 0.1668717903 0.179469343
188.0188610915 0.3677618477 0.2889312654 0.1654098498 0.1778970371
189.1475845131 0.3677618477 0.2889312654 0.1654098498 0.1778970371
190.0032936526 0.3677618477 0.2889312654 0.1654098498 0.1778970371
191.0475915937 0.3677618477 0.2889312654 0.1654098498 0.1778970371
192.0657184124 0.3677618477 0.2889312654 0.1654098498 0.1778970371
193.6122047657 0.3677618477 0.2889312654 0.1654098498 0.1778970371
194.0122831501 0.3677618477 0.2889312654 0.1654098498 0.1778970371
195.0304349714 0.3677618477 0.2889312654 0.1654098498 0.1778970371
196.0206555687 0.3525566 0.2769852969 0.1999162839 0.1705418192
197.0730421157 0.3525566 0.2769852969 0.1999162839 0.1705418192
198.0851752107 0.3525566 0.2769852969 0.1999162839 0.1705418192
199.0568272877 0.3525566 0.2769852969 0.1999162839 0.1705418192
200.1990809421 0.3525566 0.2769852969 0.1999162839 0.1705418192
201.0865517892 0.3525566 0.2769852969 0.1999162839 0.1705418192
202.0958507126 0.3525566 0.2769852969 0.1999162839 0.1705418192
203.0012580496 0.3406424772 0.301418497 0.1931604122 0.1647786136
204.2053133857 0.3406424772 0.301418497 0.1931604122 0.1647786136
205.0035467985 0.3406424772 0.301418497 0.1931604122 0.1647786136
206.0164492577 0.3406424772 0.301418497 0.1931604122 0.1647786136
207.1782061266 0.3406424772 0.301418497 0.1931604122 0.1647786136
208.3389489995 0.3406424772 0.301418497 0.1931604122 0.1647786136
209.1315775196 0.3406424772 0.301418497 0.1931604122 0.1647786136
210.0806538546 0.3406424772 0.301418497 0.1931604122 0.1647786136
211.0903348112 0.3406424772 0.301418497 0.1931604122 0.1647786136
212.0293418831 0.3247052502 0.2873163949 0.2287814061 0.1591969488
213.014139676 0.3247052502 0.2873163949 0.2287814061 0.1591969488
214.1316753742 0.3247052502 0.2873163949 0.2287814061 0.1591969488
215.0447855409 0.3247052502 0.2873163949 0.2287814061 0.1591969488
216.142166213 0.3247052502 0.2873163949 0.2287814061 0.1591969488
217.129030536 0.3247052502 0.2873163949 0.2287814061 0.1591969488
218.068117815 0.3247052502 0.2873163949 0.2287814061 0.1591969488
219.3217409499 0.3247052502 0.2873163949 0.2287814061 0.1591969488
220.0056266019 0.3247052502 0.2873163949 0.2287814061 0.1591969488
221.0852808393 0.3247052502 0.2873163949 0.2287814061 0.1591969488
222.2601794945 0.3247052502 0.2873163949 0.2287814061 0.1591969488
223.1203849309 0.3247052502 0.2873163949 0.2287814061 0.1591969488
224.052519735 0.3247052502 0.2873163949 0.2287814061 0.1591969488
225.083541392 0.3247052502 0.2873163949 0.2287814061 0.1591969488
226.1139719 0.3247052502 0.2873163949 0.2287814061 0.1591969488
227.1296598302 0.3247052502 0.2873163949 0.2287814061 0.1591969488
228.1257515363 0.3027702836 0.3354606461 0.213326428 0.1484426424
229.1129921506 0.3027702836 0.3354606461 0.213326428 0.1484426424
230.1119325314 0.3027702836 0.3354606461 0.213326428 0.1484426424
231.2613884625 0.3027702836 0.3354606461 0.213326428 0.1484426424
232.1521989446 0.3027702836 0.3354606461 0.213326428 0.1484426424
233.1455469686 0.3027702836 0.3354606461 0.213326428 0.1484426424
234.1264542133 0.3027702836 0.3354606461 0.213326428 0.1484426424
235.02354162 0.3027702836 0.3354606461 0.213326428 0.1484426424
236.1072669904 0.3027702836 0.3354606461 0.213326428 0.1484426424
237.0660359355 0.3027702836 0.3354606461 0.213326428 0.1484426424
238.0252509408 0.3027702836 0.3354606461 0.213326428 0.1484426424
239.1099611168 0.3027702836 0.3354606461 0.213326428 0.1484426424
240.0252958237 0.3027702836 0.3354606461 0.213326428 0.1484426424
241.1117418582 0.3027702836 0.3354606461 0.213326428 0.1484426424
242.3275696192 0.3027702836 0.3354606461 0.213326428 0.1484426424
243.0817033011 0.3027702836 0.3354606461 0.213326428 0.1484426424
244.0164115592 0.3027702836 0.3354606461 0.213326428 0.1484426424
245.1703259268 0.3520671797 0.3117422528 0.1982434066 0.137947161
246.1815496566 0.3520671797 0.3117422528 0.1982434066 0.137947161
247.015970339 0.3496333887 0.3095872223 0.1968729778 0.1439064112
248.0983304941 0.3496333887 0.3095872223 0.1968729778 0.1439064112
249.0322251538 0.3496333887 0.3095872223 0.1968729778 0.1439064112
250.0644420434 0.3456540221 0.3060636428 0.2060138005 0.1422685346
251.0449908753 0.3439961286 0.3093920361 0.2050256768 0.1415861584
252.006829923 0.3439961286 0.3093920361 0.2050256768 0.1415861584
253.0298034377 0.3439961286 0.3093920361 0.2050256768 0.1415861584
254.0267077824 0.3439961286 0.3093920361 0.2050256768 0.1415861584
255.1209338273 0.3439961286 0.3093920361 0.2050256768 0.1415861584
256.0338867584 0.3439961286 0.3093920361 0.2050256768 0.1415861584
257.2299561708 0.3439961286 0.3093920361 0.2050256768 0.1415861584
258.1060569367 0.3336951614 0.3001272887 0.2288311902 0.1373463596
259.1926987122 0.3336951614 0.3001272887 0.2288311902 0.1373463596
260.6138376223 0.3336951614 0.3001272887 0.2288311902 0.1373463596
261.0225907147 0.3336951614 0.3001272887 0.2288311902 0.1373463596
262.0538019887 0.3336951614 0.3001272887 0.2288311902 0.1373463596
263.1982666983 0.3336951614 0.3001272887 0.2288311902 0.1373463596
264.0241656852 0.3336951614 0.3001272887 0.2288311902 0.1373463596
265.0836236537 0.3336951614 0.3001272887 0.2288311902 0.1373463596
266.1444205236 0.3238811925 0.320710533 0.2221012689 0.1333070056
267.0000601929 0.3238811925 0.320710533 0.2221012689 0.1333070056
268.1012636098 0.3221451739 0.3189915092 0.2262708433 0.1325924736
269.0990577754 0.3221451739 0.3189915092 0.2262708433 0.1325924736
